head,rel,tail
text,related to,end
backgroundq,related to,text
background,related to,backgroundq
title,related to,background
background,related to,title
background,activity,are are
background,used,background
background,related to,ge a
computers,related to,background
background,related to,computer
##igraph,related to,background
background,related to,##igraph
background,related to,coal
background,related to,##q
title,related to,text
end,related to,text
background,related to,text
background,related to,##titletitle
background,activity,are
background,activity,used
background,activity,use
background background,related to,the
background,related to,background background
background background,related to,background
end,related to,background background
question,related to,text
background,related to,question
titletitle,related to,background
background,related to,titletitle
end,related to,title
background,do are,background
background,activity,do is
background,activity,are do do
background,related to,computers
background,related to,water
background,activity,locate
areas,activity,locate
background,activity,find
background,activity,reconstruct
background,related to,areas
background,related to,##tle
background,activity,drill
strat,related to,background
background,related to,strat
end,related to,background
background,use,computer
background,use,background
background,is are,background
##ons,activity,rec
recons,activity,##truct
end,related to,backgroundq
text,occurring,background
background,are,background
background,related to,environments
processes,related to,background
use,related to,background
##tle,related to,background
end,related to,##tle
background,related to,backgroundtitletitle
background,activity,is is
background,activity,##truct
background,related to,extraction
titleq,related to,title
geochronologists,related to,title
title a,related to,title
geochronologists,attribute,magnetic
wall,related to,title
name,related to,title
purpose,related to,title
geochronologists,related to,reversal
rock rock,related to,name
##ground,related to,name
group,related to,name
rock,related to,name
unit,related to,name
geochronologists,related to,rock
rock,attribute,igneous
end,related to,drill cores
stratigraphers,attribute,magnetic
title,related to,stratigraphers
bounds bounds,activity,provide
bounds,activity,provide
bounds,attribute,better absolute
bounds bounds,attribute,better absolute
rates rates,related to,timing
rates,related to,timing
deposition,related to,rates
war,related to,title
rights,related to,title
titletitle,related to,title
backgroundbackground,related to,title
title,related to,backgroundbackground
war,related to,background
conflict,related to,background
strat,attribute,magnetic
stratigraphers,related to,text
titletitle,related to,stratigraphers
stratigraphers,related to,titletitle
stratigraphers,related to,title
type,related to,title
what,related to,title
the,related to,title
the,attribute,great
difference,related to,the
stratigraphers,related to,rock rock
stratigraphers,related to,rock
end,related to,climate
title,related to,climate
date,activity,help
fossils,related to,text
fossils,activity,was
fossils,related to,types
text,related to,background
whattitle,related to,background
titletitle,related to,text
end,related to,titletitle
title a a,related to,title
title,related to,title a a
battle,related to,title
title,related to,battle
title,related to,wall
wall,related to,background
construction,related to,wall
title,related to,construction
fire,related to,wall
title,related to,fire
background,was,title
the,related to,background
the,was,title
background,was,series
system,related to,background
title,related to,system
title,related to,ification
title,related to,border
borders,related to,border
title,related to,borders
part,related to,border
title,related to,##tle
region,related to,name
name,related to,region
name,speaking,name
the,related to,name
the,attribute,second
name,related to,the
name,related to,for
name,related to,text
name,related to,country
name,related to,##tle
title,name,title
title,did,title
was,was,title
title,activity,ruled
region,related to,title
title,activity,was did
title,activity,did was
title,activity,was
name,activity,speaking
